case,round-1,round-2,round-3,round-4
official-baseline-tests,PASS,PASS,PASS,PASS
typed-non-shrinking-error,PASS,PASS,PASS,PASS
adaptive-range-expansion,PASS,PASS,PASS,PASS
duplicate-range-circuit-breaker,PASS,PASS,PASS,PASS
cross-turn-failed-range-cache,PASS,PASS,PASS,PASS
provider-and-abort-error-passthrough,PASS,PASS,PASS,PASS
tool-pairing-boundaries,PASS,PASS,PASS,PASS
real-transaction-expanded-replacement,PASS,PASS,PASS,PASS
context-overflow-regression,PASS,PASS,PASS,PASS
typescript-typecheck,PASS,PASS,PASS,PASS
full-test-suite,PASS,PASS,PASS,PASS
coverage-gate,PASS,PASS,PASS,PASS
package-build,PASS,PASS,PASS,PASS
package-dry-run-contents,PASS,PASS,PASS,PASS
isolated-package-install,PASS,PASS,PASS,PASS
real-session-copy-identical,PASS,PASS,PASS,PASS
real-session-copy-repeat-cost-suppression,PASS,PASS,PASS,PASS
real-session-copy-new-replacement,FAIL,FAIL,FAIL,FAIL
resident-profile-install,FAIL,PASS,PASS,PASS
web-health-api-listener-ui,FAIL,FAIL,FAIL,FAIL
resident-real-message-readback,FAIL,FAIL,FAIL,FAIL
github-pr-main-ci,PASS,PASS,PASS,PASS
github-tag-release-assets,FAIL,FAIL,FAIL,PASS
release-sha256-provenance,FAIL,FAIL,FAIL,PASS
